,0
0,Talk about Tsetse
1,About Us
2,Talk to Us
3,is a public engagement work aimed at bringing awareness on scientific research on sleeping sickness.
4,"A collaboration between the Wellcome Centre for Integrative Parasitology, University of Glasgow School of Life Sciences, Surge, Kamuzu University of Health Sciences and Malawi VOICES."
5,This project is funded by the ScotPEN Wellcome Engagement Award (Wellcome Project Number 217078/Z/19/Z)
6,Recent Posts
7,These are articles that appear in other media platforms about our activities
8,Read More
9,Radio Programs
10,Below are some of the radios that we have partnered with to cover our engagements in Rumphi and Nkhotakota in Malawi. These will run alongside our performances allowing a larger community to engage with the discussions and information available. These radio stations will make available programs that will engage radio listening clubs after live interviews and Questions and Answers
11,Street Theatre
12,"An interactive street theatre performance at local football and netball matches and other places where people gather, for example marketplaces"
13,"Radio interviews and question and answer session on the radio allowing direct communication between researchers, heath workers and local community members"
14,Downloadable Resources
15,"A website of free downloadable resources including information and signposting as well as recordings of radio broadcasts, films and photos of the performances that can be watched or listened to at local events collectively or individually."
16,Read more about the Street Scientists
17,Image Gallery
18,No Image Gallery is available for this post.
19,Please find our different types of media materials
20,Video Resources
21,Got a Question?
22,Got Information to share?
23,Send A Message
24,Enter Message
25,Your message is too short
26,Enter your name
27,Your name is too short
28,Your Email Address
29,This is not a valid email address
30,Enter Subject
31,Please Enter Subject
32,Subject is too short
33,Click on Captcha
34,Pictures
35,More Pictures
36,This project is funded by the
37,Preparing for the Performance
38,The Street Scientists prepare for Dances with the Lugo Dance Group before the engagement at Zolokere
39,Children Prepare to Watch the Performance
40,Children gather at Zolokere Primary School Ground to watch the performance
41,Public Address Van warms up the Place with Music
42,"Lots of dancing when the music started, and dancers showed off their skills"
43,A group of Ladies shows off their Beautiful red Tsetse tshirts and Tsetse Bags
44,A group of ladies shows off the Beautiful red Tsetse tshirts and Tsetse Bags they have received
45,One of the Netball Teams getting ready for the Game
46,One of the Netball Teams shows excitement in their new red tsetse tshirts before they start playing
47,Hannah gets ready to cover the perfomance from the roof of the faithful Toyota Land Cruiser
48,Hannah gets ready with her camera to shoot pictures of the performance
49,The Crowds receive Tsetse T-shirts
50,The Crowds were excited to receive the red Tsetse tshirts
51,The Performance by the Scientists
52,The Scientists mesmerise the Crowd with their performance
53,The Giant Tsetse with its Maggots
54,The Giants Tsetse and its maggots prepare for the performance
55,Kamphenda Football Club in their kit donated by Boness United FC from Scotland
56,as the sun sets over Kamphenda
57,The Street Scientists Line up
58,Preparing for the Perfomance
59,The Performance
60,Part of the Perfomance
61,What a talented man from Sasani!
62,Media Team
63,The Giant Tsetse with its Maggots interact with the Crowd
64,Enjoying the Performance from the Car roof
65,The Crowd answers questions about Tsetse and receive tshirts
66,A Wrap up by the Performers
67,Getting Ready for a Football Game
68,"The team performed in Zolokere on Friday 14th October, 2022, our first outing with the new performance."
69,"We travelled around Rumphi with Lugo Cultural Team, who did an amazing dance and music performance and hosted a question and answer session in each place."
70,We saw the local netball teams play and the football teams The Young Rangers played vs Monga Youth Club; we were very pleased with how many people came to see the first show!
71,"On Saturday 15th October,2022 we took the performance to Kamphenda, where the truck travelled around the area before the event playing music loudly to attract the attention of the local people."
72,It was market day and so again we had a great turn out. Kamphenda played vs KK Rangers in the football match and the local netball teams played a great game too.
73,"On Sunday 16th October,2022, for our last performance in Rumphi we went to the village of Bowe, where we received a warm welcome from local villagers."
74,"On Sunday 16th October,2022, for our last performance in Rumphi we went to the village of Bowe, where we received a warm welcome from local villagers. 
The teachers in each local village were essential in helping us ask the audiences questions about the activities, which will be important for our research. There was a great football match between Bowe vs Betere and the local netball teams played really well too.
This, being our last performance in Rumphi, was very successful and we had lots of good questions about African Trypanosomiasis from the crowd."
75,"On Friday 21st October,2022 in Nkhotakota our team performed with local dancers Chiusi Kanada Dance Group and the Gule Wamkulu dancers, creating an amazing spectacle which drew crowds from the surrounding areas."
76,"Our first performance was in Sasani, as part of a football and netball bonanza, where Bata Sasani played a great game vs Young Stars and our Talk About Tsetses performance was very well received."
77,"We had an extremely warm welcome in Mwala Wa Tongole Saturday 22nd October 2022, when we were greeted with the local villagers singing in harmony as we arrived. 
The local football match between Young Challengers vs Ngala Stars was great; and also netball game between the local teams was exciting. Our performance was well received with good questions from the audience. Our performance was well received with good questions from the audience."
78,"Our last performance of the project took place in Bamba on Sunday 23rd October, 2022 and there was a football match between Mthirah vs Red Rangers and a fantastic local netball match too."
79,Malawi Tour 2022
80,"Our team of performers, scientists, community members and dancers took our newly-developed Talk About Tsetses performance and giant tsetse fly to areas affected by African sleeping sickness in Rumphi and Nkhotakota over a period of 2 weeks in October 2023."
81,Our activities were part of local football and netball bonanzas in villages in the areas and we were joined by dance and music troupes from the local communities. We hosted question and answer session at each performance to encourage conversation about African Trypanosomiasis.
82,Performance at Partick Thistle Stadium
