0,1
en: Talk about Tsetse,ny: Tikambe za Kashembe
en: About Us,ny: Za Ife
en: Talk to Us,ny: Tiyankhuleni
en: is a public engagement work aimed at bringing awareness on scientific research on sleeping sickness.,ny: ndi ntchito imene inakhazikitsidwa kuthandizira anthu kuti adziwe zimene akuchita a zakafukufuku wa sayansi pa nkhani ya matenda a kashembe (amene amatchedwanso kaliodzera)
"en: A collaboration between the Wellcome Centre for Integrative Parasitology, University of Glasgow School of Life Sciences, Surge, Kamuzu University of Health Sciences and Malawi VOICES.","ny: Ntchitoyi ikugwiridwa molumukizana pakati pa magulu a Wellcome Centre for Integrative Parasitology, University of Glasgow School of Life Sciences, Surge, Kamuzu University of Health Sciences ndi Malawi VOICES."
en: This project is funded by the ScotPEN Wellcome Engagement Award (Wellcome Project Number 217078/Z/19/Z),ny: Ndalama zoyendetsera ntchitoyi zinachokera ku ScotPEN Wellcome Engagement Award
en: Recent Posts,ny: Zolembedwa Posachedwapa
en: These are articles that appear in other media platforms about our activities,"ny: Izi ndi nkhani ndimene zalembedwa ndi nyumba zina zofalitsa nkhani, pokamba za ntchito zathu"
en: Read More,ny: Werengani zambiri
en: Radio Programs,ny: Ma Program apa Wailesi
en: Below are some of the radios that we have partnered with to cover our engagements in Rumphi and Nkhotakota in Malawi. These will run alongside our performances allowing a larger community to engage with the discussions and information available. These radio stations will make available programs that will engage radio listening clubs after live interviews and Questions and Answers,ny: Awa ndi ena mwa nyumba zofalitsa nkhani zimene talumikizana nazo kuti zifalitse nkhani za zionetsero zathu ku Rumphi ndi ku Nkhotakota mu Malawi. Iwowa ankhala akukamba za ife pamene tikhale tikupanga zionetsero zathu kuthandizira kuti anthu amumadera ochuluka athenso kutenga nawo mbali mu zokambirana zathu. Ma wailesi awa athandizira kuti maprogram apezeke oti ticheze ndi magulu a anthu omvera Wailesi pamene titadzafunsane ndi kuyankhana mafunso.
en: Street Theatre,ny: Zionetsero za Mumisewu
"en: An interactive street theatre performance at local football and netball matches and other places where people gather, for example marketplaces","ny: Izi ndi zionetsero zimene zimatithandizira kukumana ndi kuchezerana ndi anthu mumalo amene pakuchitika masewera a mpira, komanso mpira wa manja ndi malo ena kumene anthu amakumanirana, monga mumisika."
"en: Radio interviews and question and answer session on the radio allowing direct communication between researchers, heath workers and local community members","ny: Maprogram ocheza ndi anthu pa wailesi, komanso kufunsa ndi kuyankha mafunso pa wailesi kuti anthu akhale ndi mwayi wocheza ndi azakafukufuku, ogwira ntchito za umoyo komanso anthu ochokera mumadera okhala anthu."
en: Downloadable Resources,ny: Katundu otheka kutenga pa Intaneti
"en: A website of free downloadable resources including information and signposting as well as recordings of radio broadcasts, films and photos of the performances that can be watched or listened to at local events collectively or individually.","ny: Webusaiti iyi ili ndi katundu waulere amene mungathe kupeza, monga mauthenga ndi zithunzithunzi, komanso maprogram amene anajambulidwa, ma filimu ndi zithunzi za zionetsero zathu, zimene mungathe kuonera kapena kumvera muchozitika pagulu kapena pamene muli nokha."
en: Read more about the Street Scientists,ny: Werengani zambiri zokhudza Anthu a Sayansiwa
en: Image Gallery,ny: Zithunzi
en: No Image Gallery is available for this post.,ny: Palibepo zithunzi zina zogwirizana ndi nkhaniyi
en: Please find our different types of media materials,ny: Pezani zina ndi zina za mauthenga athu
en: Video Resources,ny: Uthenga wa Mumavidiyo
en: Got a Question?,ny: Muli ndi funso?
en: Got Information to share?,ny: Muli ndi zoti mutidziwitse?
en: Send A Message,ny: Tumizani Uthenga
en: Enter Message,ny: Lembani Uthenga
en: Your message is too short,ny: Uthenga wanu wafupika kwambiri
en: Enter your name,ny: Lembani dzina lanu
en: Your name is too short,ny: Dzina lanu lafupikitsitsa
