,0
0,Tikambe za Kashembe
1,Za Ife
2,Tiyankhuleni
3,ndi ntchito imene inakhazikitsidwa kuthandizira anthu kuti adziwe zimene akuchita a zakafukufuku wa sayansi pa nkhani ya matenda a kashembe (amene amatchedwanso kaliodzera)
4,"Ntchitoyi ikugwiridwa molumukizana pakati pa magulu a Wellcome Centre for Integrative Parasitology, University of Glasgow School of Life Sciences, Surge, Kamuzu University of Health Sciences ndi Malawi VOICES."
5,Ndalama zoyendetsera ntchitoyi zinachokera ku ScotPEN Wellcome Engagement Award
6,Zolembedwa Posachedwapa
7,"Izi ndi nkhani ndimene zalembedwa ndi nyumba zina zofalitsa nkhani, pokamba za ntchito zathu"
8,Werengani zambiri
9,Ma Program apa Wailesi
10,Awa ndi ena mwa nyumba zofalitsa nkhani zimene talumikizana nazo kuti zifalitse nkhani za zionetsero zathu ku Rumphi ndi ku Nkhotakota mu Malawi. Iwowa ankhala akukamba za ife pamene tikhale tikupanga zionetsero zathu kuthandizira kuti anthu amumadera ochuluka athenso kutenga nawo mbali mu zokambirana zathu. Ma wailesi awa athandizira kuti maprogram apezeke oti ticheze ndi magulu a anthu omvera Wailesi pamene titadzafunsane ndi kuyankhana mafunso.
11,Zionetsero za Mumisewu
12,"Izi ndi zionetsero zimene zimatithandizira kukumana ndi kuchezerana ndi anthu mumalo amene pakuchitika masewera a mpira, komanso mpira wa manja ndi malo ena kumene anthu amakumanirana, monga mumisika."
13,"Maprogram ocheza ndi anthu pa wailesi, komanso kufunsa ndi kuyankha mafunso pa wailesi kuti anthu akhale ndi mwayi wocheza ndi azakafukufuku, ogwira ntchito za umoyo komanso anthu ochokera mumadera okhala anthu."
14,Katundu otheka kutenga pa Intaneti
15,"Webusaiti iyi ili ndi katundu waulere amene mungathe kupeza, monga mauthenga ndi zithunzithunzi, komanso maprogram amene anajambulidwa, ma filimu ndi zithunzi za zionetsero zathu, zimene mungathe kuonera kapena kumvera muchozitika pagulu kapena pamene muli nokha."
16,Werengani zambiri zokhudza Anthu a Sayansiwa
17,Zithunzi
18,Palibepo zithunzi zina zogwirizana ndi nkhaniyi
19,Pezani zina ndi zina za mauthenga athu
20,Uthenga wa Mumavidiyo
21,Muli ndi funso?
22,Muli ndi zoti mutidziwitse?
23,Tumizani Uthenga
24,Lembani Uthenga
25,Uthenga wanu wafupika kwambiri
26,Lembani dzina lanu
27,Dzina lanu lafupikitsitsa
28,Adilesi ya imelo yanu
29,Adilesi ya Imelo iyi siyolondola
30,Lembani mutu wa Uthenga
31,Chonde lembani mutu wa uthenga
32,Mutu wa Uthengawu wafupika
33,Chongani pamwambapa
34,Zithunzi
35,Zithunzi zina
36,Ndalama zoyendetsera ntchitoyi zinachokera ku
37,Kukonzekera Zionetsero
38,"Akatswiri a Sayansi akonzekera kubvina ndi gulu lobvina la Lugo, nthawi isanakwake ku Zolokere"
39,Ana akukonzekera kuonera Zionetsero
40,Ana akuchulukira pa bwalo la sukulu ya pulaimale ya Zolokere kuti adzaonere zionetsero
41,Chigalimoto chonyamula chimkuzamawu chikukuwa ndi nyimbo zokopera anthu
42,"Pali kubvina kwambiri pamene nyimbo zayambika, ndipo anthu akuonetsa maluso awo amabvinidwe"
43,"Gulu la amayi kuonetsa ma t-sheti awo a kashembe, ndi zikwama za kashembe"
44,"Gulu la Amayi likuonetsa ma t-sheti awo atsopano ofiila a kashembe, ndi zikwama zimene alandira"
45,Imodzi mwa ma timu a mpira wamanja kukonzekera masewero
46,Imodzi mwama timu a mpira wa manja kuonetsa kukondwa kwawo atabvala ma t-sheti awo atsopano ofiila a kashembe asanayambe kusewera
47,Hannah kukonzekera kuti ajambule zionetserozi ali pa denga la galimoto yokhulupirika ya mtundu wa Toyota Land Cruiser
48,Hannah akukonzekera ndi kamera yake kuti ajambule zithunzi za zionetserozi
49,Gulu la anthu kulandira ma Tshirt a Kashembe
50,Gulu la anthu linali lokondwa polandira ma t-sheti ofiira a uthenga wa kashembe
51,Zionetsero za Akatswiri a Sayansi
52,Akatswiri a Sayansi wa akupangitsa chidwi gulu la owonerera ndi zionetsero zawo
53,Chi Kashembe chachikulu ndi ana ake
54,Chi Kashembe chachikulu ndi ana ake akukunzekera zionetsero
55,Timu ya mpira ya Kamphenda atavala unifomu yawo atapatsidwa ndi timu ya Boness United yaku Scotland.
56,pamene dzuwa likulowa ku Kamphenda
57,Akatswiri a Sayansi kukonzekera
58,Kukonzekera Zionetsero
59,Zionetsero
60,Mkati mwa zionetsero
61,Mkulu wa luso kwabasi ochokera ku Sasani!
62,Anthu otola nkhani
63,Chi Kashembe chachikulu ndi ana ake chikusewera ndi anthu
64,Kutsata zionetsero ali pa denga la galimoto
65,Khamu likuyankha mafunso a kashembe ndikulandira ma t-sheti
66,Kutsanzikana kwa opanga Zionetsero
67,Kukonzekera Mpira
68,"Gululi linakapanga zionetsero ku Zolokere, lachisanu pa 14 October 2022, ulendo umene unali woyambilira ndi zionetsero zatsopanozi."
69,"Tinayenda mumadera aku Rumphi ndi gulu la Lugo Cultural Team, limene linayimba ndi kuvina mopatsa chidwi kwambiri, komanso pali ponse pamene timayima timakhala ndi nthawi ya mafunso ndi mayankho ndi gulu la anthu limene talipeza kumeneko."
70,"Tinaonerera masewera a mpira wa manja wa atsikana, komanso masewera a mpira wa anyamata, pamene a Young Rangers anasewera ndi Monga Youth Club; tinakondwa kwambiri ndi kuchuluka kwa anthu amene anabwera kudzaonera zionetsero zathu zoyambilirazi."
71,"Loweruka pa 15 October, 2022 tinakapanga zionetsero zathuzi ku Kamphenda, kumene chi tharaki chathu chinazungulira mu delali ndi nyimbo zomvekera patali pokopa anthu kuti abwere kudzaonera zionetserozi."
72,Linali tsiku la msika ndiye kunabweranso anthu ambiri kwabasi. Timu ya mpira ya Kamphenda inasewera ndi KK Rangers ndiponso ma timu a mpira wamanja nawonso anasewera mpira wokoma kwabasi.
73,"Tsiku Lamulungu pa 16 October, 2022, zionetsero zathu zomaliza ku Rumphi zinatitengera ku dera lotchedwa Bowe kumene tinalandiridwa mwamsangala kwambiri ndi anthu akumeneko."
74,"Aphunzitsi asukulu zamumaderamu anathandzira kwabasi kufunsa mafunso anthu makamaka pofuna kudziwa kuti zionetsero zathu zakhala zopindulitsa bwanji kwaiwo, zimene zili zothandizira mu kafukufuku wathu. Kunali mpira wabwino kwambiri pakati pa Bowe ndi Betere, komanso osewera mpira wa manja anaseweranso bwino kwambiri. Mwambowu, umene unali womaliza ku Rumphi, unatha bwino kwambiri ndiponso tinalandira mafunso abwino kwambiri okhudzana ndi matenda a kasembe, kuchokera ku khwimbi limene linabwera."
75,"Tsiku Lachisanu pa 21 October 2022 ku Nkhotakota, gulu lathu linaonetsera zochitikachitika zimene zinakopa anthu ambiri kuchokera ku madera ozungulira."
76,"Zionetsero zathu zoyamba zinachitikira kwa Sasani kumene ngati mbali ya masewero a mpira, timu ya Bata Sasani inasewera mpira wokoma ndi timu ya Young Stars, ndipo zionetsero zathu za Tikambe za Kashembe zinalandiridwa bwino."
77,"Tinalandiridwa bwino kwambiri ku Mwala wa Tongole pa tsiku Loweruka pa 22 October 2022, pamene tinalonjeredwa ndi anthu a madera osiyanasiyana anali akuyimba pamene tinkafika. Mpira wa pakati pa timu ya Young Challengers ndi Ngala Stars unayenda bwino kwambiri; komanso mpira wa manja wa ma timu a atsikana unalinso wokondweretsa kwambiri. Zionetsero zathu zinalandiridwa bwino kwambiri ndi mafunso abwinonso kuchokera ku gulu limene linabwera kudzaonelera."
78,"Chionetsero chathu chomaliza pa Projecti yi chinatitengera ku malo otchedwa Bamba pa tsiku Lamulungu pa 23 October, 2022 ndipo kunali mpira pakati pa ma timu a mpira a Mthirah ndi Red Rangers, komanso mpira wa manja woti unasangalatsanso kwabasi."
79,Ulendo wa ku Malawi mu 2022
80,"Gulu lathu la a zionetsero, a sayansi, anthu ochokera mumidzi ndi anthu ovina anatengera zionentsero zathu zatsopano za ""Tikambe za Kashembe"" ndi chi kashembe chachikulu ku madela amene akuvutika ndi matenda a kashembe ku Rumphi ndi Nkhotakota pa nthawi yokwanira ma sabata awiri mu mwezi wa October 2023."
81,"Zochitikachitikazi zinali gawo limodzi la masewero a mpira wa anyamata ndi mpira wa manja wa atsikana mu midzimu, ndipo kunabweranso ovina zachikhalidwe ochokera mu mudzi momo. Tinakonzanso nthawi ya mafunso ndi mayankho pa zionetsero za kuli konse kumene timapitako, kuti tilimbikitse kukambirana za matenda a kashembe amtundu wamu Africa."
82,Zionetsero ku Stadiyamu ya Partick Thistle
83,"A katswiri a Sayansi wa anapanga zionetsero zawo Loweruka pa 6 August 2022 ku Stadiyamu ya Furhill, pa nthawi yopumira pamene kunali masewera a mpira mu Ligi ya Scottish Championship, pakati pa Partick Thistle Football Club ndi Hamilton Academical."
84,Potha pa zionetserozi anthu anakuwa ndikuombera m'manja poyamikira.
85,"Mkulu wa timu ya Partick Thistle, a Gerry Britton, anati ""Pamene azakafukufuku ochokera ku Univesite ya Glasgow anatipeza kumamaliziro a ligi ya chaka chatha kudzakamba nafe zoti adzapange ziwonetsero zawo pokonzekera ulendo wawo wa ku Malawi, kwa ife sizinafunikenso kuganiza kawiri kapena katatu koma kuwavomera ndikuwapatsa mpata woti adzapange zionetsero zawo ngati gawo lokonzekera."""
86,"Gululi likukonzekera kupita ku Malawi mu masabata otsatirawa, kumene atakapange zionetsero zokhudzana ndi matenda ofalikira."
87,Uku ndi kutsatira kwa mambo wa zionetsero umene unachitika ku Sitediyamu ya Furhill ku Glasqow m'dziko la Scotland pa 6 August 2022.
88,"Pologramu yapadera ya pa Wailesi ya Umunthu FM, yokamba za tizilombo ta kashembe, matenda a kashembe komanso Street Science pamene okambira ake anali a Gary Chilinga ndi Dr Jacob Kafulafula, ochokera ku Ofesi ya zaumoyo ya boma la Nkhotakota, Nkhotakota District Health Office."
89,Imvani kuchokera kwa Dr Walt Adamson pa zokhudza Projekiti yi
90,Imvani kuchokera kwa Dr Nicola Veitch pa zokhudza Projekiti yi.
91,"Dziwani Mkulu wotsogolera zionetsero zathu, Alan Richardson, ndipo imvani maganizo awo pa za zionetserozi."
92,Kabuku ka Nkhani ya Matenda a Kashembe
93,Kachirombo koopsya kamene kali ndi kuthekera kodzibisa kokha ku chitetezo chamthupi ndi kukhala mobisika mu thupi la munthu.
94,"Vidiyo iyi inajambulidwa mwaukadaulo wa 360 . Choncho gwiritsani ntchito cholozera pa kompyuta yanuyo, kapena kuzunguza foni yanuyo ngati mukuonera vidiyoyi pa foni, kuti muone bwino mmene zinalili pa Vidiyoyi ikuoneka bwino pa kakokedwe ka vidiyo pa mulingo wa 1080sHD kapena kuposera apo."
