sentence,category,chich_gloria,chich_shadreck
"Group village head Kambiri said apart from improving yield and nutrition in his community, Trade programme will also protect farmers from unscrupulous vendors who exploit them.",News article,"Mfumu Kambiri idati kupatula kupititsa patsogolo zokolola komaso zokudya mwa thanzi mu dera lake, ndondomeko ya malonda ithandiziraso kutetezera alimi kwa akamberembere ogulitsa omwe malonda omwe amawagwiritsa ntchito mongofuna kupeza phindu mwaiwo okha.",
"In the Central Region, we are promoting soya bean, groundnuts, sunflower and potato and in the North we are focusing on honey and beef.",News article,"Mu Chigawo chapakati tikulimikitsa Soya, Mtedza, Mpenda Dzuwa ndi mbatata ndipo ku Mpoto",
"The minister told the House through the budget, the government was hoping to implement policy reforms that enhance resource mobilisation accompanied by prudent expenditure management to ensure that the country’s debt is put on a downward trajectory.",News article,"Nduna inawuza nyumba yamalamulo kudzera mu ndondomeko ya za chuma, kuti boma limayembekezera kukhazikitsa ndondomeko yatsopano yomwe ilimbikitse kusokhanitsa pamodzi zipangizo zoyendetsera ntchito molingana ndi kagwilitsidwe ntchito kabwino ka ndalama, ndondomekoyi ithandiza kuchepetsa ngongole.",
"The minister reported that during the 2022/23 financial Year, government constructed community technical colleges in Nkhotakota, Chikwawa, and Chiradzulu.",News article,"A Nduna anena kuti mu chaka cha 2023/ 2024 amanga sukulu zamanja ku Nkhotakota, Chikwawa ndi Chiradzulu",
But who made anyone an expert in matters of the heart? Who are we to judge what or who anyone decided to fall in love with? Do we know what attracts people to each other? Do we even understand how they met or their circumstances herein? Do we even know what binds the two?,News article,Koma ndindani amene anapanga aliyese katsiwiri pa nkhani zachikondi? Ife ndindani kuti tiweruze wina wake pa chiganizo cha amene angagwe naye mu chikondi kapena chomwe angagwe nacho muchikondi? Kodi tikudziwa chomwe chimakoka/chimadolola ntima munthu wina ndi nzake kuti agwe mu chikondi? Koma tikuvetsetsa nkomwe momwe anakumanilana kapena chomwe chinachititsa? Tikudziwa nkomwe chomwe chinawamanga pamodzi anthu awiriwa?,
"Mr Hwesha , a primary school teacher for EUTHINI zone being beaten by his own father because of stealing his cattle and selling them . Cattle recovered and now at Mzimba police.",Social media,"Bambo Hwesha, a phunzitsi aku Euthini Pulayimale amenyedwa ndi bamboo awo chifukwa chakuba ngo’mbe ndizikugulitsa. Ngombe zapezeka ndipo tsopano zili ku polisi ya Mzimba.",
"Msume says, Cosmos, has on Monday pleaded guilty to the theft charges before the court of law.",News,Msume Wati Cosmos wapezeka olakwa pa bwalo la khoti lolemba pa mulandu wakuba,
"Minister of Homeland Security, Ken Zikhale Ng'oma, has donated his net salary for March, which is K1.5 million, to young men (adzukulu) who worked to rescue others during the disaster.",News,"Nduna yoona za Chitetezo chadziko, Ken Zikhale Ng’oma, yapeleka ndalama yake ya mwezi wa Malichi yokwana wani miliyoni faifi handiledi kwacha, kwa adzukulu omwe anagwila ntchito yopulumutsa anthu nthawi ya Ngozi ya dzidzi.",
"Since then, they have not set foot in South Africa after a warrant of arrest was issued against them.",News,Kuchokera Pamenepo sanapiteso ku South Africa Chitsimikizo choti amumanga chitapelekedwa,
He says it is sad that Malawi is yet to reach 500 megawatts as its national capacity.,News,Ndizokhumudwitsa kuti Mpaka pano Mphavu zamagetsi Ku Malawi Sizinafikebe Zikwi zisanu,
